LineId,timestamp,level,eventid,Template,Sentence
1,Sun Dec 04 04:47:44 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
2,Sun Dec 04 04:47:44 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
3,Sun Dec 04 04:51:08 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6725 in scoreboard slot 10
4,Sun Dec 04 04:51:09 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6726 in scoreboard slot 8
5,Sun Dec 04 04:51:09 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6728 in scoreboard slot 6
6,Sun Dec 04 04:51:14 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
7,Sun Dec 04 04:51:14 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
8,Sun Dec 04 04:51:14 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
9,Sun Dec 04 04:51:18 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
10,Sun Dec 04 04:51:18 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
11,Sun Dec 04 04:51:18 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
12,Sun Dec 04 04:51:37 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6736 in scoreboard slot 10
13,Sun Dec 04 04:51:38 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6733 in scoreboard slot 7
14,Sun Dec 04 04:51:38 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6734 in scoreboard slot 9
15,Sun Dec 04 04:51:52 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
16,Sun Dec 04 04:51:52 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
17,Sun Dec 04 04:51:55 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
18,Sun Dec 04 04:52:04 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6738 in scoreboard slot 6
19,Sun Dec 04 04:52:04 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6741 in scoreboard slot 9
20,Sun Dec 04 04:52:05 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6740 in scoreboard slot 7
21,Sun Dec 04 04:52:05 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6737 in scoreboard slot 8
22,Sun Dec 04 04:52:12 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
23,Sun Dec 04 04:52:12 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
24,Sun Dec 04 04:52:12 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
25,Sun Dec 04 04:52:15 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
26,Sun Dec 04 04:52:15 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
27,Sun Dec 04 04:52:15 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
28,Sun Dec 04 07:14:29 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
29,Sun Dec 04 07:14:47 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 321 in scoreboard slot 9
30,Sun Dec 04 07:15:09 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 324 in scoreboard slot 11
31,Sun Dec 04 07:15:09 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 323 in scoreboard slot 8
32,Sun Dec 04 07:17:56 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 350 in scoreboard slot 9
33,Sun Dec 04 07:17:56 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 353 in scoreboard slot 12
34,Sun Dec 04 07:17:56 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 352 in scoreboard slot 11
35,Sun Dec 04 07:17:56 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 349 in scoreboard slot 8
36,Sun Dec 04 07:17:56 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 348 in scoreboard slot 7
37,Sun Dec 04 07:17:56 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 347 in scoreboard slot 6
38,Sun Dec 04 07:17:56 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 351 in scoreboard slot 10
39,Sun Dec 04 07:18:00 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
40,Sun Dec 04 07:18:00 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
41,Sun Dec 04 07:18:00 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
42,Sun Dec 04 07:18:00 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
43,Sun Dec 04 07:18:00 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
44,Sun Dec 04 07:18:00 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
45,Sun Dec 04 07:18:00 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
46,Sun Dec 04 07:18:00 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 8
47,Sun Dec 04 07:18:00 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
48,Sun Dec 04 07:18:00 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
49,Sun Dec 04 07:18:00 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
50,Sun Dec 04 07:18:00 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
51,Sun Dec 04 07:18:00 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
52,Sun Dec 04 07:18:00 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
53,Sun Dec 04 07:45:45 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 63.13.186.196] Directory index forbidden by rule: /var/www/html/
54,Sun Dec 04 08:54:17 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 147.31.138.75] Directory index forbidden by rule: /var/www/html/
55,Sun Dec 04 09:35:12 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 207.203.80.15] Directory index forbidden by rule: /var/www/html/
56,Sun Dec 04 10:53:30 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 218.76.139.20] Directory index forbidden by rule: /var/www/html/
57,Sun Dec 04 11:11:07 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 24.147.151.74] Directory index forbidden by rule: /var/www/html/
58,Sun Dec 04 11:33:18 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 211.141.93.88] Directory index forbidden by rule: /var/www/html/
59,Sun Dec 04 11:42:43 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 216.127.124.16] Directory index forbidden by rule: /var/www/html/
60,Sun Dec 04 12:33:13 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 208.51.151.210] Directory index forbidden by rule: /var/www/html/
61,Sun Dec 04 13:32:32 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 65.68.235.27] Directory index forbidden by rule: /var/www/html/
62,Sun Dec 04 14:29:00 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 4.245.93.87] Directory index forbidden by rule: /var/www/html/
63,Sun Dec 04 15:18:36 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 67.154.58.130] Directory index forbidden by rule: /var/www/html/
64,Sun Dec 04 15:59:01 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 24.83.37.136] Directory index forbidden by rule: /var/www/html/
65,Sun Dec 04 16:24:03 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 1219 in scoreboard slot 6
66,Sun Dec 04 16:24:05 2005,error,E4,[client <*>] Directory index forbidden by rule: <*>,[client 58.225.62.140] Directory index forbidden by rule: /var/www/html/
67,Sun Dec 04 16:24:06 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
68,Sun Dec 04 16:24:06 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
69,Sun Dec 04 16:31:07 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 1248 in scoreboard slot 7
70,Sun Dec 04 16:32:37 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 1253 in scoreboard slot 9
71,Sun Dec 04 16:32:56 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
72,Sun Dec 04 16:32:56 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6
73,Sun Dec 04 16:32:58 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 1254 in scoreboard slot 7
74,Sun Dec 04 16:32:58 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 1256 in scoreboard slot 6
75,Sun Dec 04 16:32:58 2005,notice,E1,k2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 1255 in scoreboard slot 8
76,Sun Dec 04 16:32:58 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
77,Sun Dec 04 16:32:58 2005,error,E3,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7
78,Sun Dec 04 16:32:58 2005,notice,E2,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties
